"TT","MaxValue","log_MaxValue","TT_numeric"
"TT_513",1.3289274993573,0.284372225464496,513
"TT_514",1.27954808154629,0.246506954298755,514
"TT_515",1.44220354270853,0.366172181958834,515
"TT_516",1.95862990542366,0.672245200963471,516
"TT_517",1.43685647438559,0.362457723462608,517
"TT_518",1.04045462353821,0.0396577556537987,518
"TT_519",1.17925760519102,0.164885092337623,519
"TT_520",3.47527605761236,1.24567391690101,520
"TT_521",1.46874054196605,0.384405259377122,521
"TT_522",1.81770282679277,0.597573520783847,522
"TT_523",1.63213681856142,0.489890087930796,523
"TT_524",1.66856569550373,0.511964392425007,524
"TT_525",2.3068276027838,0.835873248520633,525
"TT_526",1.01189359425342,0.0118234213188991,526
"TT_527",1.56994250115527,0.451038995221579,527
"TT_528",1.69651534072249,0.528576347772727,528
"TT_529",1.20426043718857,0.18586563345229,529
"TT_530",1.05827282526986,0.0566381690687526,530
"TT_531",0.904327421221482,-0.100563792548827,531
"TT_532",0.800349846614632,-0.222706338637313,532
"TT_533",1.46743063229459,0.383513002297665,533
"TT_534",1.03899230274615,0.0382513037606262,534
"TT_535",1.86126513193818,0.621256434969966,535
"TT_536",2.18050761814367,0.779557702054576,536
"TT_537",1.44149679933759,0.365682017724509,537
"TT_538",1.26281294195068,0.233341726263911,538
"TT_539",1.13889733609174,0.130060545276851,539
"TT_540",1.76822402428532,0.569975666756965,540
"TT_541",0.963697209227781,-0.0369781320222286,541
"TT_542",0.819206316217214,-0.199419314500526,542
"TT_543",0.74899635055135,-0.289021167904892,543
"TT_544",1.00003915642264,3.91556560518093e-05,544
"TT_545",1.25675017982864,0.228529166680762,545
"TT_546",1.10065371480056,0.0959042894685478,546
"TT_547",1.47186487904515,0.386530221966407,547
"TT_548",1.02807352841746,0.0276866901730468,548
"TT_549",1.11996422692129,0.113296744548054,549
"TT_550",1.24504378262479,0.219170696065234,550
